Dimension,Cronbach_Alpha,McDonald_Omega,CI_95%
Critico,0.9504568773061307,0.9694660148522534,"[0.942, 0.958]"
Tecnico,0.9448156801417552,0.9637119937445904,"[0.935, 0.954]"
Participativo,0.953995814277963,0.9730757305635223,"[0.946, 0.961]"
