ID_Estudiante,Universidad,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Nivel_Critico,Nivel_Tecnico,Nivel_Participativo,Nivel_AMI_Global,Riesgo_Total,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Score_Riesgo_Academico,Score_Riesgo_LMS,Riesgo_Acad_Perceptual,Riesgo_Documental
STU_0207,UNI,3.3,3.6,3.7,3.5333333333333337,Bajo,Medio,Medio,Medio,0,4,4,3,4,3,2,3,4,3,3,3,4,3,4,4,4,4,3,4,3,3,3,4,4,4,3,4,4,4,4,1.75,1.625,2.0,1.625
STU_0208,UNI,2.9,3.7,3.6,3.4,Bajo,Alto,Medio,Medio,0,3,2,3,3,3,2,3,4,3,3,3,4,4,4,4,4,3,3,4,4,2,5,4,3,4,4,3,4,4,3,2.5,3.5,3.5,3.5
STU_0210,UNI,3.6,3.1,3.9,3.533333333333333,Medio,Bajo,Alto,Medio,0,3,2,4,4,4,3,4,4,4,4,4,4,4,1,4,2,4,4,3,1,3,5,5,5,3,4,3,3,4,4,2.25,2.125,3.0,2.125
STU_0211,UNI,3.7,3.6,3.8,3.7000000000000006,Medio,Medio,Medio,Medio,1,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,2,3,4,4,5,2,3,4,5,4,4,2.75,2.0,3.0,2.0
STU_0212,UNI,3.7,2.9,4.5,3.6999999999999997,Medio,Bajo,Alto,Medio,0,4,4,4,4,3,3,3,4,4,4,4,2,4,2,3,3,4,2,2,3,5,5,5,5,2,5,5,5,4,4,1.25,1.0,1.0,1.0
STU_0213,UNI,3.4,2.9,3.4,3.233333333333333,Bajo,Bajo,Medio,Bajo,1,4,4,4,4,4,3,3,2,2,4,4,2,3,4,2,4,3,2,3,2,4,2,2,3,3,4,4,4,4,4,2.5,2.625,2.5,2.625
STU_0214,UNI,3.9,3.7,4.1,3.9,Alto,Alto,Alto,Alto,1,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,3,5,4,5,3,5,3,4,4,5,2.875,1.875,2.25,1.875
STU_0216,UNI,2.7,3.6,2.4,2.9000000000000004,Bajo,Medio,Bajo,Bajo,1,4,2,3,2,1,3,3,2,3,4,4,4,4,4,4,4,3,4,4,1,2,5,2,4,2,2,2,1,1,3,3.125,3.75,2.75,3.75
STU_0217,UNI,4.0,3.7,3.7,3.8000000000000003,Alto,Alto,Medio,Alto,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,4,3,3,4,4,4,4,2.125,1.5,1.75,1.5
STU_0218,UNI,2.8,3.5,2.9,3.0666666666666664,Bajo,Medio,Bajo,Bajo,1,3,2,1,3,2,4,4,3,3,3,4,4,3,4,3,3,4,3,3,4,2,4,3,4,3,3,2,3,3,2,2.625,2.625,2.25,2.625
STU_0219,UNI,3.5,2.7,2.9,3.033333333333333,Bajo,Bajo,Bajo,Bajo,0,3,4,3,4,3,4,3,3,4,4,2,4,4,3,3,3,2,2,3,1,3,4,3,4,1,3,3,3,3,2,1.75,3.5,2.0,3.5
STU_0221,UNI,3.5,3.1,3.3,3.2999999999999994,Bajo,Bajo,Medio,Bajo,1,3,4,4,3,4,5,3,3,4,2,3,3,3,1,3,4,4,4,4,2,5,4,3,4,3,4,3,2,2,3,2.0,2.125,1.5,2.125
STU_0222,UNI,3.5,3.1,3.4,3.3333333333333335,Bajo,Bajo,Medio,Bajo,1,4,4,3,4,3,3,4,4,3,3,3,4,4,4,3,3,4,2,1,3,1,4,3,5,5,5,2,1,5,3,2.0,3.125,1.5,3.125
STU_0223,UNI,3.8,3.7,3.8,3.766666666666667,Medio,Alto,Medio,Alto,1,4,4,4,3,4,5,4,3,3,4,4,4,4,4,4,3,4,3,4,3,4,3,4,5,5,4,2,3,4,4,2.5,2.625,2.5,2.625
STU_0224,UNI,3.1,2.9,3.4,3.1333333333333333,Bajo,Bajo,Medio,Bajo,0,3,3,3,3,3,4,4,1,4,3,3,3,4,2,2,3,2,4,4,2,2,5,3,5,3,5,4,4,1,2,1.75,1.75,2.0,1.75
STU_0225,UNI,3.7,3.6,2.9,3.4000000000000004,Medio,Medio,Bajo,Medio,0,4,4,4,4,3,3,4,4,4,3,4,3,3,3,4,4,4,3,4,4,4,2,3,4,2,3,4,2,2,3,2.125,2.375,2.25,2.375
STU_0226,UNI,3.4,3.5,3.7,3.5333333333333337,Bajo,Medio,Medio,Medio,0,4,3,4,3,3,3,4,3,4,3,3,4,3,3,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,1.625,1.875,1.75,1.875
STU_0227,UNI,3.7,3.3,3.4,3.466666666666667,Medio,Bajo,Medio,Medio,1,4,3,4,4,2,4,4,4,4,4,3,4,4,2,4,4,4,3,3,2,2,5,4,4,3,5,3,3,2,3,2.0,1.625,1.5,1.625
STU_0228,UNI,3.8,3.8,4.2,3.9333333333333336,Medio,Alto,Alto,Alto,0,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,4,5,5,5,5,1.0,1.0,1.0,1.0
STU_0229,UNI,3.7,3.7,3.4,3.6,Medio,Alto,Medio,Medio,0,4,4,4,3,4,5,3,3,4,3,4,4,4,3,4,4,4,4,3,3,4,3,3,4,3,4,3,3,4,3,1.875,1.75,2.25,1.75
