Variable,Dimensión,N_Valido,N_Faltante,Media,Error_Estandar,Desv_Estandar,Mediana,Minimo,Maximo,P25,P75,IQR,Asimetria,Curtosis
Score_Critico,Critico,753,0,3.6345,0.0195,0.5359,3.7,1.9,5.0,3.3,4.0,0.7,-0.219,0.4384
Score_Tecnico,Tecnico,753,0,3.4404,0.0186,0.5116,3.5,1.0,5.0,3.1,3.7,0.6,-0.1359,0.7725
Score_Participativo,Participativo,753,0,3.4683,0.0218,0.5995,3.4,1.5,5.0,3.1,3.9,0.8,-0.0706,-0.3607
Score_AMI_Global,AMI Global,753,0,3.5144,0.0177,0.4868,3.5,1.9,5.0,3.2,3.8333,0.6333,-0.0839,0.1868
